model,cv_auc_mean,cv_auc_std,cv_f1_mean,cv_f1_std,cv_precision_mean,cv_recall_mean,cv_accuracy_mean,accuracy,precision,recall,f1,roc_auc
logistic_regression,0.7815652077251233,0.006254854857790535,0.7248662985330745,0.005119850747848881,0.7258060146704185,0.7239732890736489,0.7075084219022625,0.7255343082114736,0.7451820128479657,0.7357293868921776,0.7404255319148936,0.7951786988850942
random_forest,0.7960397680015986,0.0027728632200154247,0.7497613160015527,0.007517445064893982,0.7212416303627773,0.7808767140286654,0.7226972407972017,0.745031871016123,0.7382333978078659,0.806906272022551,0.7710437710437711,0.8145269217216891
gradient_boosting,0.8152044616315836,0.0022375026870694384,0.7643531421130149,0.0061817789326520335,0.7337105498110673,0.7979616243717814,0.7382586138034396,0.7615298087739033,0.7514450867052023,0.8245243128964059,0.7862903225806451,0.8345166219439475
hist_gradient_boosting,0.8117401549391516,0.004883531657272516,0.7573269045055525,0.007379125523078309,0.7285768943568278,0.7886244338276354,0.7310401856663111,0.7626546681664792,0.7493654822335025,0.8322762508809021,0.7886477462437396,0.836062435626389
xgboost,0.8076526351082759,0.007299544771503404,0.7550571997001432,0.004817951559062011,0.7255153530836135,0.787390953651424,0.728134096632074,0.7506561679790026,0.747051114023591,0.8033826638477801,0.7741935483870968,0.8255542906705698
