feature,importance_value,importance_type,model,rank
category_code_infrequent_sklearn,0.00029185475812108726,model_builtin,GradientBoostingClassifier,80.0
city_Franklin,0.0002901273750583533,model_builtin,GradientBoostingClassifier,81.0
category_code_Consumer Goods,0.000275103149093473,model_builtin,GradientBoostingClassifier,82.0
state_code_4,0.00025372287167854907,model_builtin,GradientBoostingClassifier,83.0
category_code_Domains,0.00022453472283226673,model_builtin,GradientBoostingClassifier,84.0
city_Edmonton,0.00022431571577980272,model_builtin,GradientBoostingClassifier,85.0
category_code_EdTech,0.0002122426294650462,model_builtin,GradientBoostingClassifier,86.0
city_Addison,0.0002116710494026909,model_builtin,GradientBoostingClassifier,87.0
category_code_Broadcasting,0.0001955623807896493,model_builtin,GradientBoostingClassifier,88.0
category_code_Fantasy Sports,0.00019351312188682046,model_builtin,GradientBoostingClassifier,89.0
state_code_WI,0.00019312181975692807,model_builtin,GradientBoostingClassifier,90.0
category_code_Nonprofits,0.00018961179759340984,model_builtin,GradientBoostingClassifier,91.0
country_code_BGR,0.0001859219137369888,model_builtin,GradientBoostingClassifier,92.0
city_Newton,0.00018235394928612977,model_builtin,GradientBoostingClassifier,93.0
region_Salt Lake City,0.0001803917035318823,model_builtin,GradientBoostingClassifier,94.0
region_Dallas,0.00017928889897325968,model_builtin,GradientBoostingClassifier,95.0
city_Englewood,0.00017887869556835578,model_builtin,GradientBoostingClassifier,96.0
city_Jakarta,0.0001787634991596115,model_builtin,GradientBoostingClassifier,97.0
region_Roanoke,0.00017422701705683657,model_builtin,GradientBoostingClassifier,98.0
city_Singapore,0.0001710657937853236,model_builtin,GradientBoostingClassifier,99.0
state_code_10,0.0001697058001592916,model_builtin,GradientBoostingClassifier,100.0
city_Arlington,0.00016929242786516477,model_builtin,GradientBoostingClassifier,101.0
category_code_Semiconductors,0.00016920936548816493,model_builtin,GradientBoostingClassifier,102.0
category_code_Big Data,0.00016596006571451726,model_builtin,GradientBoostingClassifier,103.0
city_Reston,0.00016517294781325908,model_builtin,GradientBoostingClassifier,104.0
category_code_Messaging,0.00016450536979181483,model_builtin,GradientBoostingClassifier,105.0
category_code_Hardware + Software,0.00016387269876500348,model_builtin,GradientBoostingClassifier,106.0
category_code_Industrial,0.00016058365445693583,model_builtin,GradientBoostingClassifier,107.0
city_Dallas,0.00015878011191626577,model_builtin,GradientBoostingClassifier,108.0
region_Edinburgh,0.00015741123543507076,model_builtin,GradientBoostingClassifier,109.0
category_code_Crowdsourcing,0.00015682528459401099,model_builtin,GradientBoostingClassifier,110.0
city_Burlington,0.000155951251441746,model_builtin,GradientBoostingClassifier,111.0
region_Palm Beaches,0.0001533350523989843,model_builtin,GradientBoostingClassifier,112.0
city_Toronto,0.0001526650791145153,model_builtin,GradientBoostingClassifier,113.0
category_code_Career Planning,0.0001511431037134903,model_builtin,GradientBoostingClassifier,114.0
city_Kitchener,0.00014912894841671701,model_builtin,GradientBoostingClassifier,115.0
state_code_MD,0.00014887755311924938,model_builtin,GradientBoostingClassifier,116.0
category_code_Photography,0.0001487319816063096,model_builtin,GradientBoostingClassifier,117.0
region_DEU - Other,0.00014707213891011772,model_builtin,GradientBoostingClassifier,118.0
country_code_JPN,0.00014603768044663918,model_builtin,GradientBoostingClassifier,119.0
state_code_5,0.00014582681744891316,model_builtin,GradientBoostingClassifier,120.0
country_code_NZL,0.00014516348354931319,model_builtin,GradientBoostingClassifier,121.0
city_Chapel Hill,0.00014394821717782824,model_builtin,GradientBoostingClassifier,122.0
city_South San Francisco,0.0001438726559272672,model_builtin,GradientBoostingClassifier,123.0
category_code_Collaboration,0.00014311687276587795,model_builtin,GradientBoostingClassifier,124.0
city_Mumbai,0.00014296137034283234,model_builtin,GradientBoostingClassifier,125.0
region_San Diego,0.00013615995762878316,model_builtin,GradientBoostingClassifier,126.0
city_Oakland,0.00013430143738787052,model_builtin,GradientBoostingClassifier,127.0
city_Seattle,0.00013415841012625793,model_builtin,GradientBoostingClassifier,128.0
region_Kansas City,0.00013175539819701605,model_builtin,GradientBoostingClassifier,129.0
state_code_SC,0.00012894118219114467,model_builtin,GradientBoostingClassifier,130.0
state_code_NY,0.00011872173142667116,model_builtin,GradientBoostingClassifier,131.0
city_Washington,0.00011845080004971907,model_builtin,GradientBoostingClassifier,132.0
category_code_Travel,0.00010496377287457841,model_builtin,GradientBoostingClassifier,133.0
region_Tel Aviv,9.839239912442279e-05,model_builtin,GradientBoostingClassifier,134.0
state_code_GA,9.664988774848569e-05,model_builtin,GradientBoostingClassifier,135.0
city_San Ramon,8.148709942806948e-05,model_builtin,GradientBoostingClassifier,136.0
region_Madison,7.144904556699302e-05,model_builtin,GradientBoostingClassifier,137.0
city_Madison,3.562351086695731e-05,model_builtin,GradientBoostingClassifier,138.0
region_SWE - Other,1.5417895411755577e-05,model_builtin,GradientBoostingClassifier,139.0
city_West Palm Beach,4.228333712034781e-06,model_builtin,GradientBoostingClassifier,140.0
category_code_Clean Energy,9.240535549393867e-07,model_builtin,GradientBoostingClassifier,141.0
state_code_7,5.289892090078292e-08,model_builtin,GradientBoostingClassifier,142.0
category_code_App Marketing,0.0,model_builtin,GradientBoostingClassifier,489.0
city_Watertown,0.0,model_builtin,GradientBoostingClassifier,489.0
city_Wayne,0.0,model_builtin,GradientBoostingClassifier,489.0
city_Wellington,0.0,model_builtin,GradientBoostingClassifier,489.0
city_West Hollywood,0.0,model_builtin,GradientBoostingClassifier,489.0
city_Stamford,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Infrastructure,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_B2B,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Accounting,0.0,model_builtin,GradientBoostingClassifier,489.0
city_Waltham,0.0,model_builtin,GradientBoostingClassifier,489.0
city_Vienna,0.0,model_builtin,GradientBoostingClassifier,489.0
city_Victoria,0.0,model_builtin,GradientBoostingClassifier,489.0
city_Venice,0.0,model_builtin,GradientBoostingClassifier,489.0
city_Vancouver,0.0,model_builtin,GradientBoostingClassifier,489.0
city_Tucson,0.0,model_builtin,GradientBoostingClassifier,489.0
city_Tokyo,0.0,model_builtin,GradientBoostingClassifier,489.0
city_Tel Aviv,0.0,model_builtin,GradientBoostingClassifier,489.0
city_Tampa,0.0,model_builtin,GradientBoostingClassifier,489.0
city_São Paulo,0.0,model_builtin,GradientBoostingClassifier,489.0
city_Sydney,0.0,model_builtin,GradientBoostingClassifier,489.0
city_Sunnyvale,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Banking,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Babies,0.0,model_builtin,GradientBoostingClassifier,489.0
city_Westborough,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Health Diagnostics,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Health Care Information Technology,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Hardware,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Gps,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Games,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Game,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Food Processing,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Fitness,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Financial Services,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Finance Technology,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Film,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Internet of Things,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Internet,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Interest Graph,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Intelligent Systems,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Innovation Management,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Nanotechnology,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Music,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Mobile,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Medical Devices,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Medical,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Marketplaces,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Maps,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Logistics,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Location Based Services,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Local Businesses,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Local,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Lifestyle,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Legal,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Investment Management,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Healthcare Services,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Health and Wellness,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Security,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Search,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_SaaS,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Reviews and Recommendations,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Retail,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Recruiting,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Real Estate,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Publishing,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Public Transportation,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Public Relations,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Property Management,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Pets,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Open Source,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Online Travel,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Online Shopping,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Networking,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Fashion,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Exercise,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Events,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Event Management,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Environmental Innovation,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Entrepreneur,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Entertainment,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Enterprises,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Engineering Firms,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Energy Efficiency,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Employment,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Telecommunications,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Storage,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Sports,0.0,model_builtin,GradientBoostingClassifier,489.0
